percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.4923555325213785954910598600%,-0.4923555325213785954910598600%,fuel,buy-fuel_eth,0.0000020500937500,0.0000020500937500,sell-fuel_btc,0.00000204,0.00000204,100.00%,0.00%,30/12/2018 23:43:01,
-0.4344298245614035087719298200%,-0.4344298245614035087719298200%,fun,buy-fun_btc,0.00000114,0.00000114,sell-fun_eth,0.0000011350475000,0.0000011350475000,100.00%,0.00%,30/12/2018 23:43:01,
-0.4158928888580825120988908300%,-0.4158928888580825120988908300%,gnt,buy-gnt_eth,0.0000183764262500,0.0000183764262500,sell-gnt_btc,0.00001830,0.00001830,100.00%,0.00%,30/12/2018 23:43:01,
-0.1954896384816446296024678700%,-0.1954896384816446296024678700%,go,buy-go_bnb,0.0000061319874000,0.0000061319874000,sell-go_btc,0.00000612,0.00000612,100.00%,0.00%,30/12/2018 23:43:01,
-0.2661843385214007782101167300%,-0.2661843385214007782101167300%,grs,buy-grs_btc,0.00006168,0.00006168,sell-grs_eth,0.0000615158175000,0.0000615158175000,100.00%,0.00%,30/12/2018 23:43:01,
-0.3260303394702489277010038100%,-0.3260303394702489277010038100%,gto,buy-gto_bnb,0.0000065312940000,0.0000065312940000,sell-gto_btc,0.00000651,0.00000651,100.00%,0.00%,30/12/2018 23:43:01,
-0.2455473736016824854559889700%,-0.2455473736016824854559889700%,gvt,buy-gvt_eth,0.0011266665000000,0.0011266665000000,sell-gvt_btc,0.00112390,0.00112390,100.00%,0.00%,30/12/2018 23:43:01,
-0.1462651894210150107219442500%,-0.1462651894210150107219442500%,gxs,buy-gxs_btc,0.00013990,0.00013990,sell-gxs_eth,0.0001396953750000,0.0001396953750000,100.00%,0.00%,30/12/2018 23:43:01,
-0.4227902819606132188634317100%,-0.4227902819606132188634317100%,hc,buy-hc_eth,0.0002240472500000,0.0002240472500000,sell-hc_btc,0.00022310,0.00022310,100.00%,0.00%,30/12/2018 23:43:01,
-2.0118198242337018097192026200%,-2.0118198242337018097192026200%,hot,buy-hot_eth,0.0000001224637500,0.0000001224637500,sell-hot_btc,0.00000012,0.00000012,100.00%,0.00%,30/12/2018 23:43:01,
-0.1650004144218814753418402300%,-0.1650004144218814753418402300%,icx,buy-icx_usdt,0.0000637051137016155965325198,0.0000637051137016155965325198,sell-icx_btc,0.00006360,0.00006360,100.00%,0.00%,30/12/2018 23:43:01,
-0.493437890297086464241108900%,-0.493437890297086464241108900%,ins,buy-ins_eth,0.0000732615000000,0.0000732615000000,sell-ins_btc,0.00007290,0.00007290,100.00%,0.00%,30/12/2018 23:43:01,
-0.7240852038938597676705603600%,-0.7240852038938597676705603600%,iost,buy-iost_eth,0.0000014706487500,0.0000014706487500,sell-iost_btc,0.00000146,0.00000146,100.00%,0.00%,30/12/2018 23:43:01,
-0.1559639680949665835953563700%,-0.1559639680949665835953563700%,iota,buy-iota_btc,0.00009260,0.00009260,sell-iota_usdt,0.0000924555773655440609435907,0.0000924555773655440609435907,100.00%,0.00%,30/12/2018 23:43:01,
-0.4326190476190476190476190500%,-0.4326190476190476190476190500%,iotx,buy-iotx_btc,0.00000210,0.00000210,sell-iotx_eth,0.0000020909150000,0.0000020909150000,100.00%,0.00%,30/12/2018 23:43:01,
-1.3396959459459459459459459500%,-1.3396959459459459459459459500%,key,buy-key_btc,0.00000074,0.00000074,sell-key_eth,0.0000007300862500,0.0000007300862500,100.00%,0.00%,30/12/2018 23:43:01,
-0.3406482894553488832813714600%,-0.3406482894553488832813714600%,kmd,buy-kmd_eth,0.0002233608750000,0.0002233608750000,sell-kmd_btc,0.00022260,0.00022260,100.00%,0.00%,30/12/2018 23:43:01,
-0.2380966587112171837708830500%,-0.2380966587112171837708830500%,knc,buy-knc_btc,0.00004190,0.00004190,sell-knc_eth,0.0000418002375000,0.0000418002375000,100.00%,0.00%,30/12/2018 23:43:01,
-0.844685353352117489421126700%,-0.844685353352117489421126700%,lend,buy-lend_eth,0.0000020775487500,0.0000020775487500,sell-lend_btc,0.00000206,0.00000206,100.00%,0.00%,30/12/2018 23:43:01,
-0.2375053745828299993857619600%,-0.2375053745828299993857619600%,link,buy-link_eth,0.0000781456000000,0.0000781456000000,sell-link_btc,0.00007796,0.00007796,100.00%,0.00%,30/12/2018 23:43:01,
-0.3178426915357237011000280200%,-0.3178426915357237011000280200%,loom,buy-loom_bnb,0.0000115767960000,0.0000115767960000,sell-loom_btc,0.00001154,0.00001154,100.00%,0.00%,30/12/2018 23:43:01,
-0.7936160738606927251412705200%,-0.7936160738606927251412705200%,lrc,buy-lrc_eth,0.0000107150362500,0.0000107150362500,sell-lrc_btc,0.00001063,0.00001063,100.00%,0.00%,30/12/2018 23:43:01,
-0.2469943083335267443741773700%,-0.2469943083335267443741773700%,lsk,buy-lsk_eth,0.0003716178750000,0.0003716178750000,sell-lsk_btc,0.00037070,0.00037070,100.00%,0.00%,30/12/2018 23:43:01,
